favourites_count,followersCount,friendsCount,hashtags,imageurl,lang,listedCount,retweetCount,retweetText,retweeted,tweetCreatedAt,tweetId,tweetText,url,userCreatedAt,userDescription,userID,userLocation,userName
788,136,434,None,http://pbs.twimg.com/profile_images/1035092263196614656/dMT0UN-x_normal.jpg,en,1,0,,False,2015-01-05 01:51:59,551919005385388032,@Landfill316 why not bud? they help. serious.,https://t.co/zB14F2GYtN,2014-11-24 19:30:39,"inside me, a light was turned on. I was alive.",2891209925,"Nahant, MA",Joe Cal
15101,471,525,,http://pbs.twimg.com/profile_images/651794301052170240/kb5tfAvf_normal.jpg,en,10,3,He has a championship diet of weed &amp; skittles RT @KILLSheredon: Why that nigga marshawn lynch so cold”,True,2015-01-11 03:46:56,554122259234054144,RT @MtvTone: He has a championship diet of weed &amp; skittles RT @KILLSheredon: Why that nigga marshawn lynch so cold”,https://t.co/acjpgZVS8K,2010-02-23 21:22:04,Aspiring Graphic Novel Writer  and Artist.,116877145,Nowhere NJ,KILLER QUEEN
15786,438,411,,http://pbs.twimg.com/profile_images/1015320864395485184/IEQcUixg_normal.jpg,en,9,693,"Kyrie &amp; Kevin Love ""hit the joint"" handshake. https://t.co/wLxz75o4uC",True,2015-01-26 01:24:30,559522233614233600,"RT @bestsportvine_: Kyrie &amp; Kevin Love ""hit the joint"" handshake. https://t.co/wLxz75o4uC",,2012-01-26 01:48:10,TTU,474493201,"Colleyville, TX",J R D
15101,471,525,None,http://pbs.twimg.com/profile_images/651794301052170240/kb5tfAvf_normal.jpg,en,10,0,,False,2015-01-27 18:21:41,560140605024903168,LMAOO“@VinceScxtt: someone swing by my crib wit the weed rolled and lets discuss how Diddy never made sequels to his to be continued videos”,https://t.co/acjpgZVS8K,2010-02-23 21:22:04,Aspiring Graphic Novel Writer  and Artist.,116877145,Nowhere NJ,KILLER QUEEN
12186,779,536,None,http://pbs.twimg.com/profile_images/1095869926521430018/sG0b_651_normal.jpg,en,1,0,,False,2015-01-30 16:52:00,561205197582909443,@hjrajs happy birthday sas bud love and miss you!❤️,,2009-12-19 19:51:12,,97970246,,darcy
12152,572,558,None,http://pbs.twimg.com/profile_images/1097627592058961921/9lfTXbnX_normal.jpg,en,1,0,,False,2015-01-31 23:40:13,561670316879904768,@YoJohnny47 does weed once,,2013-03-23 04:32:34,"my name is Ronnie. I write and play video games. Occasionally, I’ll make someone laugh // tamu ‘22 🇲🇽",1290403448,"Brownsville/College Station,TX",GoT Ended
26373,20456,861,['Backfire'],http://pbs.twimg.com/profile_images/1012052645752680448/tntbDEqT_normal.jpg,en,100,15,So my timeline confirms: We all want to play human PacMan but *not* if it mandates drinking Bud Light. #Backfire,True,2015-02-02 02:32:14,562075994925047808,RT @knmeyersfree: So my timeline confirms: We all want to play human PacMan but *not* if it mandates drinking Bud Light. #Backfire,https://t.co/An92uO2xJE,2013-01-28 14:13:06,Expert,1128197251,"Indianapolis, Indiana",Becky Kevoian
91074,1324,589,,http://pbs.twimg.com/profile_images/1129816337323372544/YBbBon-E_normal.jpg,en,6,1469,"The dog who played Comet on ""Full House"" was the same dog who played ""Air Bud.""",True,2015-02-08 00:17:12,564216337376215040,"RT @UberFacts: The dog who played Comet on ""Full House"" was the same dog who played ""Air Bud.""",,2012-04-09 04:57:24,East Carolina '21 • Rest Easy Mom • Riddim n’ Stuff • Cyclops Army,549033867,,Ëm Ûh L☯U.
15101,471,525,None,http://pbs.twimg.com/profile_images/651794301052170240/kb5tfAvf_normal.jpg,en,10,0,,False,2015-02-11 22:34:27,565640031726227458,Difference between a trap house and a weed dealers house. Levels,https://t.co/acjpgZVS8K,2010-02-23 21:22:04,Aspiring Graphic Novel Writer  and Artist.,116877145,Nowhere NJ,KILLER QUEEN
4761,588,519,None,http://pbs.twimg.com/profile_images/1110103347875315712/MqawqHMZ_normal.jpg,en,4,0,,False,2015-02-16 00:37:07,567120455304486912,everythings better with a bag of weed,https://t.co/VhqgyhQKmU,2010-05-03 03:19:29,snapchat: marcjames14 Staten Island New York,139596213,NY,Marc
24193,287,259,,http://pbs.twimg.com/profile_images/1116709944458452992/D7Zgr-Cb_normal.jpg,en,6,37,Nigga got all that weed and no garbage can 😂😂😂 “@FREDOSANTANA300: Who wanna smoke ? http://t.co/H7pogCbq6I”,True,2015-02-16 18:22:31,567388572802502656,RT @Shaddie_b: Nigga got all that weed and no garbage can 😂😂😂 “@FREDOSANTANA300: Who wanna smoke ? http://t.co/H7pogCbq6I”,,2012-06-05 05:16:19,clothing and nightcore enthusiast,599840606,Texas,stephen
5302,192,120,None,http://pbs.twimg.com/profile_images/975203287896125440/i21aVkfD_normal.jpg,en,1,1,,False,2015-02-16 15:09:10,567339912593043457,when you know all the words to the hash slinging slasher episode.  @Christinaditore,https://t.co/GwdmwRgsth,2012-08-03 23:16:55,𝕓𝕦𝕤𝕥𝕚𝕟' 𝕠𝕦𝕥 𝕥𝕙𝕖 𝕓𝕒𝕟𝕕𝕠. ||ny / fl sc: derrinlynn,735703502,,𝔇𝔢𝔯𝔯𝔦𝔫𝔩𝔶𝔫𝔫
3161,18285,3487,['ToolkitTalk'],http://pbs.twimg.com/profile_images/1117483986950000641/6egg4vfi_normal.jpg,en,597,1,,False,2015-02-18 00:57:29,567850353233805312,A9: Do your own heart *and your kids’ hearts* a favor... Never smoke. #ToolkitTalk,https://t.co/NZSqwkvFSn,2009-04-27 19:16:22,"Pediatrician, mom, blogger, technophile. Looking for ways to improve the patient-doctor connection.",35830238,"Kansas City, MO","Natasha Burgert, MD"
6688,433,827,None,http://pbs.twimg.com/profile_images/1098651349946982400/9mwt0xww_normal.jpg,en,3,0,,False,2015-02-18 03:07:14,567883007970779136,@fhassassin2015 your welcome bud 😏,,2012-12-09 15:11:19,"I live my life 1,320ft at a time. Cadillac Technician.",999473420,"San Antonio, TX",MacB10
20912,504,248,,http://pbs.twimg.com/profile_images/1084163469677678592/IfF5D3FT_normal.jpg,en,4,621,Doctor: are you sexually active? do you smoke? do you drink? do you love this shit? are you high right now? do you ever get nervous?,True,2015-02-22 06:29:00,569383337153814529,RT @PandaBarrett: Doctor: are you sexually active? do you smoke? do you drink? do you love this shit? are you high right now? do you ever g…,,2013-06-22 04:21:50,ur tacky & I hate u,1537893348,Marvins Room,vaneѕѕa вecĸ
5061,4795,5246,None,http://pbs.twimg.com/profile_images/1084870930927517696/BcrPXxa5_normal.jpg,en,276,0,,False,2015-02-26 13:31:55,570939319550025728,"Puff, Pass, &amp; Paint: Weed-friendly art class http://t.co/RMYIn14kO7",http://t.co/PKqUEEhXgW,2011-11-01 21:53:52,"Education Choice Advocate, Data Analysis, #PrincipleOverParty Political Junkie",403004768,"Lake County, IL",Lennie Jarratt
4761,588,519,,http://pbs.twimg.com/profile_images/1110103347875315712/MqawqHMZ_normal.jpg,en,4,3,Smoke the pain away 💨,True,2015-02-27 03:51:22,571155604489822208,RT @TJ_Fanning: Smoke the pain away 💨,https://t.co/VhqgyhQKmU,2010-05-03 03:19:29,snapchat: marcjames14 Staten Island New York,139596213,NY,Marc
73,594,1395,['BaseballBegins'],http://pbs.twimg.com/profile_images/1112344058641432576/psN5DFOQ_normal.jpg,en,3,775,Fresh grass … who’s ready to play? #BaseballBegins http://t.co/jdeXJwmoIk,True,2015-02-27 13:40:24,571303841934786560,RT @MLB: Fresh grass … who’s ready to play? #BaseballBegins http://t.co/jdeXJwmoIk,,2014-03-15 12:15:21,"I aint no angel, ive still got a few more dances with the devil.",2412643318,,Allie Blennau
20073,510,387,,http://pbs.twimg.com/profile_images/1125635383193006080/yzuWjkW1_normal.jpg,en,2,1,S/o to @josefgruber19 for making such a dirty grab today at the baseball tryouts! Good job bud⚾️👍,True,2015-03-03 01:58:03,572576640385085440,RT @t_wallace10: S/o to @josefgruber19 for making such a dirty grab today at the baseball tryouts! Good job bud⚾️👍,,2014-10-19 14:23:28,"Cleveland Browns Enthusiast,, Sport Management OU ‘22",2865136112,"Cleveland, OH",gruber
